id,title,slug,description,custom_description,custom_properties,tags,sku,sub_category_id,status,is_featured,related_products,quantity_types,meta_title,meta_description,meta_keywords,created_at,updated_at
19002f4e-936e-4582-80f6-2ca560f9604b,Flat 65X5,flat-65x5,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{cf6e6ddb-abb1-4843-864b-2c4659fb0b6a,bc0e1079-7e65-4a81-b087-fb12c209bfb4,efcf40de-bf8c-4f85-b903-5bbc526b0e6f,30cdf53a-6c82-4aca-a9e5-5a976d321402,27745e99-6fa0-430c-ac8d-2c3ab1f1890c}","{Kgs.,MT}","","","",2024-05-20 06:57:35.993+00,2024-05-20 06:57:35.993+00
5f27e0f7-382d-45f2-bfc5-97f070890b95,Flat 65X8,flat-65x8,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{cf6e6ddb-abb1-4843-864b-2c4659fb0b6a,bc0e1079-7e65-4a81-b087-fb12c209bfb4,efcf40de-bf8c-4f85-b903-5bbc526b0e6f,30cdf53a-6c82-4aca-a9e5-5a976d321402,27745e99-6fa0-430c-ac8d-2c3ab1f1890c}","{Kgs.,MT}","","","",2024-05-20 06:58:26.472+00,2024-05-20 06:58:26.472+00
7cbf1793-55e1-46e6-9ee7-7673ddc90bc2,Flat 65X10,flat-65x10,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{cf6e6ddb-abb1-4843-864b-2c4659fb0b6a,bc0e1079-7e65-4a81-b087-fb12c209bfb4,efcf40de-bf8c-4f85-b903-5bbc526b0e6f,30cdf53a-6c82-4aca-a9e5-5a976d321402,27745e99-6fa0-430c-ac8d-2c3ab1f1890c}","{Kgs.,MT}","","","",2024-05-20 06:59:54.555+00,2024-05-20 06:59:54.555+00
0b03e857-0c8e-4e28-9163-830d0384a67b,Flat 65X12,flat-65x12,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{cf6e6ddb-abb1-4843-864b-2c4659fb0b6a,bc0e1079-7e65-4a81-b087-fb12c209bfb4,efcf40de-bf8c-4f85-b903-5bbc526b0e6f,30cdf53a-6c82-4aca-a9e5-5a976d321402,27745e99-6fa0-430c-ac8d-2c3ab1f1890c}","{Kgs.,MT}","","","",2024-05-20 07:00:29.435+00,2024-05-20 07:00:29.435+00
006dca79-f94e-41c7-83e7-276aded26418,UB 356 x 171 x 51,ub-356-x-171-x-51,"",[],"[{""name"": ""Make"", ""values"": [""JINDAL"", ""SAIL""]}]","{Ubeam,""Unniversal Beam""}",32586,c95391f6-2552-4d86-9e8c-6473fa4e0fe6,published,,"{b8d3de55-4552-4d8b-963a-0ebe7142b01e,fef2be4f-0a04-452a-87e5-2d17fca3b3e7,3901fc80-645a-4ff4-b349-6ad62bb56a4a}","{Kgs.,MT,Nos.}","","","",2024-05-21 06:42:49.656+00,2024-05-21 06:42:49.656+00
904ba3a4-e193-47e6-9ba7-90c9de70db25,GPSP Sheet 2.5mm,gpsp-sheet-2.5mm,"",[],"[{""name"": ""Make"", ""values"": [""TATA"", ""AMNS"", ""POSCO"", ""JSW"", ""PROMPT""]}, {""name"": ""Grade"", ""values"": [""E250"", ""E350""]}, {""name"": ""Width"", ""values"": [""1250"", ""1500""]}, {""name"": ""Gsm"", ""values"": [""70"", ""80"", ""90"", ""100"", ""120"", ""180"", ""275""]}, {""name"": ""Length"", ""values"": [""2500"", ""customized""]}, {""name"": ""Surface Finish"", ""values"": [""Oily"", ""Non Oily""]}]","{Sheets,""GPSP Sheets""}",32581,54345c99-e8ad-4723-84d8-2e3d7d8cf077,published,,"{13a96510-e525-4378-bc0b-389a4011e2a6,50600fda-971c-413e-9d01-b6cff452c41c,d33b9372-d6e3-4b1d-963e-a98a2329cf45,e36c31de-5b91-4eff-a0cc-f60699820c53,512b762d-1390-48ef-a7aa-6be5d8ebf2c8}","{MT,Nos.,Kgs.}","","","",2024-05-18 09:37:33.837+00,2024-05-22 08:35:16.518+00
bdbe3215-2430-4cfe-8bf8-7bea651bd3d7,Flat 100X8,flat-100x8,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{c053ac95-bf5d-4818-8a8d-7de671c20f31,84ee6274-4412-4da9-8912-5f6e8f24ead7,5b1bd581-54a2-46d5-8179-94ceae92cc16,cf6e6ddb-abb1-4843-864b-2c4659fb0b6a,bc0e1079-7e65-4a81-b087-fb12c209bfb4,efcf40de-bf8c-4f85-b903-5bbc526b0e6f}","{Kgs.,MT}","","","",2024-05-20 07:05:22.904+00,2024-05-20 07:05:22.904+00
1bfa89b8-4404-49f3-9d33-7859e68847fc,Flat 100X10,flat-100x10,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{c053ac95-bf5d-4818-8a8d-7de671c20f31,84ee6274-4412-4da9-8912-5f6e8f24ead7,5b1bd581-54a2-46d5-8179-94ceae92cc16,cf6e6ddb-abb1-4843-864b-2c4659fb0b6a,bc0e1079-7e65-4a81-b087-fb12c209bfb4,efcf40de-bf8c-4f85-b903-5bbc526b0e6f}","{Kgs.,MT}","","","",2024-05-20 07:06:02.901+00,2024-05-20 07:06:02.901+00
4e6160eb-af08-4453-8df4-079a3f5476a5,Flat 100X12,flat-100x12,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{c053ac95-bf5d-4818-8a8d-7de671c20f31,84ee6274-4412-4da9-8912-5f6e8f24ead7,5b1bd581-54a2-46d5-8179-94ceae92cc16,cf6e6ddb-abb1-4843-864b-2c4659fb0b6a,bc0e1079-7e65-4a81-b087-fb12c209bfb4,efcf40de-bf8c-4f85-b903-5bbc526b0e6f}","{Kgs.,MT}","","","",2024-05-20 07:11:41.887+00,2024-05-20 07:11:41.887+00
e4a53a46-91ea-439b-a692-ec3bef241124,Flat 125X6,flat-125x6,"",[],"[{""name"": ""Make"", ""values"": [""Any ISI""]}, {""name"": ""Length"", ""values"": [""6metre"", ""Customized""]}, {""name"": ""Grade"", ""values"": [""E250""]}]","{""MS flats"",""Flat bar""}",32581,5da2a2fe-fd0e-4666-a74c-d68abecfd6f1,published,,"{c053ac95-bf5d-4818-8a8d-7de671c20f31,84ee6274-4412-4da9-8912-5f6e8f24ead7,5b1bd581-54a2-46d5-8179-94ceae92cc16,cf6e6ddb-abb1-4843-864b-2c4659fb0b6a,bc0e1079-7e65-4a81-b087-fb12c209bfb4,efcf40de-bf8c-4f85-b903-5bbc526b0e6f}","{Kgs.,MT}","","","",2024-05-20 07:12:09.332+00,2024-05-20 07:12:09.332+00
